,type,url,review_rating,film_name,no_of_reviewer
0,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Black Panther (2018),525
1,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Avengers: Endgame (2019),546
2,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mission: Impossible - Fallout (2018),437
3,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mad Max: Fury Road (2015),433
4,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
5,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Wonder Woman (2017),471
6,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Coco (2017),352
7,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Dunkirk (2017),461
8,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,91%,Star Wars: The Last Jedi (2017),482
9,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Thor: Ragnarok (2017),436
10,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,Seven Samurai (Shichinin no Samurai) (1956),87
11,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Logan (2017),423
12,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Star Wars: Episode VII - The Force Awakens (2015),443
13,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,The Adventures of Robin Hood (1938),48
14,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Incredibles 2 (2018),387
15,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,King Kong (1933),66
16,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Zootopia (2016),297
17,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Spider-Man: Far From Home (2019),450
18,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,War for the Planet of the Apes (2017),360
19,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Baby Driver (2017),395
20,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Spider-Man: Homecoming (2017),394
21,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Metropolis (1927),133
22,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Jaws (1975),94
23,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Up (2009),298
24,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Shazam! (2019),412
25,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,The Dark Knight (2008),345
26,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,The Treasure of the Sierra Madre (1948),52
27,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Captain America: Civil War (2016),424
28,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,88%,Blade Runner 2049 (2017),441
29,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Skyfall (2012),382
30,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,The Jungle Book (2016),326
31,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),331
32,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,The 39 Steps (1935),52
33,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,The French Connection (1971),83
34,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Mission: Impossible Rogue Nation (2015),326
35,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Apocalypse Now (1979),96
36,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,The Hurt Locker (2009),289
37,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,85%,Avengers: Infinity War (2018),485
38,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Lawrence of Arabia (1962),122
39,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,The LEGO Movie (2014),253
40,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,87%,Ant-Man and the Wasp (2018),438
41,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Star Trek (2009),354
42,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,Moana (2016),283
43,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Isle of Dogs (2018),367
44,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Star Wars: Episode IV - A New Hope (1977),132
45,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Guardians of the Galaxy (2014),333
46,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,99%,Goldfinger (1964),69
47,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Kubo and the Two Strings (2016),224
48,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,Stagecoach (1939),45
49,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,91%,Marvel's The Avengers (2012),362
50,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,WALL-E (2008),260
51,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Iron Man (2008),281
52,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,The Terminator (1984),65
53,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Hunt for the Wilderpeople (2016),205
54,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,The African Queen (1951),45
55,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,89%,Doctor Strange (2016),385
56,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,The Princess Bride (1987),80
57,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,The Taking of Pelham One Two Three (1974),43
58,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,89%,John Wick: Chapter 3 - Parabellum (2019),353
59,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,The Peanut Butter Falcon (2019),220
60,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Star Wars: Episode V - The Empire Strikes Back (1980),105
61,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Aliens (1986),77
62,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,Paths of Glory (1957),62
63,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,True Grit (2010),275
64,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,X-Men: Days of Future Past (2014),330
65,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,The Bridge on the River Kwai (1957),61
66,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,All Is Lost (2013),240
67,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Looper (2012),270
68,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Badlands (1974),59
69,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Casino Royale (2006),262
70,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,The Lego Batman Movie (2017),313
71,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,85%,Guardians of the Galaxy Vol. 2 (2017),422
72,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Chicken Run (2000),172
73,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,Stalker (1979),41
74,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,No Country for Old Men (2007),288
75,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,79%,Captain Marvel (2019),542
76,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Dawn Of The Planet Of The Apes (2014),315
77,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Sicario (2015),279
78,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Ran (1985),89
79,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Jurassic Park (1993),130
80,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
81,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Ghostbusters (1984 Original) (1984),73
82,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,Henry V (1989),40
83,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,88%,Onward (2020),337
84,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,The Seventh Seal (Det Sjunde inseglet) (1957),62
85,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,95%,The Lord of the Rings: The Two Towers (2002),255
86,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Rio Bravo (1959),43
87,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,90%,Captain America: The Winter Soldier (2014),306
88,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,98%,Assault on Precinct 13 (1976),44
89,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,84%,Deadpool 2 (2018),420
90,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Back to the Future (1985),83
